channel,total_participations,unique_users,unique_users_named,mapping_pct
jasontheween,65129,26462,5955,22.50
xqc,58764,24405,24405,100.00
marlon,77715,24100,14606,60.61
theburntpeanut,39440,23704,23704,100.00
stableronaldo,48124,22082,5084,23.02
wendolynortizz,57155,19437,18331,94.31
silky,35523,18798,4642,24.69
eslcs,28582,16357,16275,99.50
ravshann,32007,13641,13641,100.00
nooreax,24406,13087,12848,98.17
adapt,27302,12238,2688,21.96
valkyrae,31217,12204,12165,99.68
plaqueboymax,20244,11745,11745,100.00
summit1g,19470,11372,10778,94.78
leva2k,32134,10358,9835,94.95
moonmoon,26316,9902,9390,94.83
lacy,17435,9825,2494,25.38
caseoh_,10278,9070,8623,95.07
evelynomadera,29016,8938,8893,99.50
s0mcs,17953,8622,8622,100.00
yourragegaming,19544,8323,2461,29.57
bysl4m,13637,7642,7642,100.00
tarik,11631,6517,6089,93.43
jynxzi,6751,6107,555,9.09
loud_coringa,7873,5974,3700,61.94
reginald,7575,5463,5463,100.00
fanfan,10597,5403,5403,100.00
kaysan,9194,5233,1652,31.57
batora324,11043,4746,4746,100.00
hasanabi,5247,4542,718,15.81
2xrakai,5146,4482,1342,29.94
yugi2x,8645,4259,4259,100.00
supertf,9554,4233,4214,99.55
agustinunaplay8,7075,4123,3995,96.90
elabrahaham,4036,4007,10,0.25
pikabooirl,7434,3947,3924,99.42
fanum,5547,3816,3816,100.00
pokelawls,10218,3712,3707,99.87
zackrawrr,3761,3695,849,22.98
arky,7286,3601,3520,97.75
hanjoudesu,8251,3500,3478,99.37
sheviiioficial,12609,3395,3369,99.23
gaules,4085,3319,224,6.75
tarzaned,5951,3243,3243,100.00
n3on,6137,3219,1372,42.62
thesketchreal,4089,3081,527,17.10
jonvlogs,3681,2942,622,21.14
vargskelethor,7008,2865,2735,95.46
sidneyeweka,4163,2823,2672,94.65
thetylilshow,3261,2808,2808,100.00
joe_bartolozzi,3651,2760,129,4.67
chloe__irl,5619,2744,2744,100.00
sinatraa,5560,2724,2724,100.00
sasatikk,6299,2707,2707,100.00
loltyler1,3123,2574,685,26.61
gotaga,3834,2500,2500,100.00
greentea,5712,2415,2415,100.00
elotrix,3693,2404,2404,100.00
ben_,4089,2365,2200,93.02
thimagroo,5247,2324,2324,100.00
officermesser,3370,2307,29,1.26
clix,2822,2300,385,16.74
aldo_geo,5568,2247,2247,100.00
alfrea,2735,2231,2231,100.00
zrush,5866,2184,2184,100.00
bisteconee,2722,2172,43,1.98
lilaggy,5264,2152,2152,100.00
moistcr1tikal,2558,2146,2146,100.00
lacari,5820,2071,2071,100.00
jinnytty,4587,2061,2061,100.00
shroud,2197,1992,672,33.73
alkaizerx,4144,1925,1925,100.00
shanks_ttv,3622,1918,1918,100.00
happyhappygal,1999,1897,15,0.79
dona,2121,1865,111,5.95
squeex,2637,1859,393,21.14
surefour,4749,1819,1805,99.23
filian,2592,1794,175,9.75
totaamc,2063,1720,304,17.67
ddg,2304,1686,1686,100.00
akamikarubi,5108,1680,1680,100.00
aminematue,1641,1627,27,1.66
ilrossopiubelloditwitch,1996,1590,6,0.38
nl_kripp,3321,1503,1503,100.00
faide,2088,1491,1164,78.07
asmongold247,2699,1486,1478,99.46
axtlol,2991,1472,1472,100.00
naru0419045,3257,1416,1416,100.00
onigiri,4496,1380,1380,100.00
kyo1984123,4425,1364,1364,100.00
tray,3521,1318,1318,100.00
cloakzy,1792,1308,1308,100.00
erobb221,2007,1299,347,26.71
carolinekwan,2316,1249,1249,100.00
datmodz,2471,1160,1160,100.00
im_dontai,1602,1103,215,19.49
noway4u_sir,1091,1091,29,2.66
zerbs,1076,1076,20,1.86
eliasn97,1271,1049,120,11.44
gronkh,1197,1039,60,5.77
khalamity,1640,1037,1037,100.00
nissaxter,1366,1001,23,2.30
jadeyanh,1297,988,220,22.27
smallant,1439,947,947,100.00
shinjifromjapanxd,1526,925,925,100.00
zwebackhd,1228,908,64,7.05
xaryu,909,907,248,27.34
peereira7,1035,895,10,1.12
alanzoka,860,856,24,2.80
cineillojuan,1029,853,9,1.06
terablade,1306,852,852,100.00
mistermv,1040,842,154,18.29
criticalrole,954,836,836,100.00
criken,1301,810,760,93.83
clioaite,1480,797,797,100.00
quin69,795,795,269,33.84
aurateur,1714,790,790,100.00
jltomy,1024,785,11,1.40
aceu,1107,776,776,100.00
failverde,1355,768,768,100.00
westlicia,2056,765,390,50.98
youladecadd,758,758,2,0.26
letshugotv,896,753,123,16.33
kato_junichi0817,714,714,173,24.23
threadguylive,829,713,18,2.52
knekro,944,710,16,2.25
cohhcarnage,707,681,128,18.80
jay3,907,681,51,7.49
rogue,907,653,653,100.00
39daph,1809,638,638,100.00
lollolacustre,660,632,2,0.32
des0ut,742,618,56,9.06
ratedepicz,762,607,87,14.33
boon,1092,594,594,100.00
dizzykitten,881,579,579,100.00
zarbex,567,567,39,6.88
niekbeats,662,563,72,12.79
imperialhal__,644,557,63,11.31
domingo,620,539,22,4.08
nickmercs,620,533,165,30.96
fontinnelerj,525,525,144,27.43
matimi0,843,522,522,100.00
repaz,661,508,74,14.57
draketyt,672,505,11,2.18
voodoosh,565,486,40,8.23
warn,882,481,481,100.00
orangieyt,672,477,264,55.35
chilledchaos,677,457,33,7.22
kamet0,465,454,8,1.76
threadguy_live,1685,442,437,98.87
paymoneywubby,439,439,289,65.83
threadguy,857,432,229,53.01
yonnajay,495,431,431,100.00
ponyaaaa,497,421,421,100.00
kenji,488,420,12,2.86
swagg,491,415,36,8.67
dnmdota,712,412,412,100.00
colercooks,855,398,247,62.06
lilsimsie,398,398,10,2.51
threadguytv,1707,396,5,1.26
velja_lol,475,393,44,11.20
waolol1,427,391,9,2.30
zentreya,572,387,43,11.11
amazonmusic,442,383,383,100.00
k1m6a,1087,379,211,55.67
arteezy,377,377,61,16.18
pr6spr,594,376,376,100.00
baitybait,377,372,5,1.34
thread_guytv,362,362,362,100.00
mrlust,420,362,238,65.75
sykkuno,458,356,74,20.79
advyth,691,350,187,53.43
solanadegen_,851,346,274,79.19
recrent,346,346,14,4.05
stegi,401,335,80,23.88
gronkhtv,821,331,331,100.00
henn100x,508,329,213,64.74
4gh0stee,516,327,293,89.60
timthetatman,329,326,110,33.74
agraelus,423,316,9,2.85
snessh,447,314,314,100.00
rocky_,314,314,4,1.27
ironmouse,306,306,28,9.15
dariomocciatwitch,292,292,1,0.34
tomato,289,289,75,25.95
xloopierr,666,282,255,90.43
nadeshot,273,260,76,29.23
trymacs,247,247,32,12.96
hutchmf,242,242,109,45.04
megga,326,241,159,65.98
abugoku9999,267,237,9,3.80
kuramekira,318,233,233,100.00
avoidingthepuddle,233,233,50,21.46
pete_0w,746,231,206,89.18
zcointv,461,223,164,73.54
ott4,333,223,152,68.16
tteuw,221,221,12,5.43
igumdrop,241,218,55,25.23
kingsleague_br,252,218,26,11.93
djmariio,215,215,5,2.33
herrbergmann,213,213,39,18.31
scharo100x,304,212,212,100.00
yokitox100,842,211,13,6.16
henyathegenius,204,204,18,8.82
lvndmark,236,203,53,26.11
cryptokking,1100,200,112,56.00
gzsp,332,199,134,67.34
roflgator,246,195,195,100.00
fashr,298,195,130,66.67
rayasianboy,192,192,71,36.98
dokibird,186,186,186,100.00
kingslots10,2599,181,181,100.00
crodiezz,397,180,162,90.00
floppa__tv,429,180,114,63.33
payo,180,180,31,17.22
scottfdx,342,175,138,78.86
js0l_,547,175,90,51.43
not_threadguy,173,173,4,2.31
castcrafter,165,165,38,23.03
koma,175,160,8,5.00
noobmini,302,159,73,45.91
penta,159,159,40,25.16
dmitry_bale,200,159,4,2.52
putr0,202,157,25,15.92
buichka,244,149,149,100.00
xop0,154,144,1,0.69
minharte,223,139,139,100.00
crystalmolly,138,138,7,5.07
skipnho,136,136,39,28.68
scurrows,153,136,5,3.68
mathil1,160,131,31,23.66
the_happy_hob,147,130,16,12.31
btcwhitelu,610,128,94,73.44
bonjwachill,166,128,7,5.47
rachtaz,143,127,18,14.17
m1crotrader,415,122,69,56.56
thegrefg,125,122,1,0.82
krupin_crypto,321,121,72,59.50
imdbraz,210,120,120,100.00
grubby,143,120,15,12.50
taryn,195,113,113,100.00
nyanners,111,111,28,25.23
notquitelikedub,107,107,57,53.27
